text1,text2
"Goodbye , Goodbye !","Adieu , dispatch ."
"Oh , rude and unthankful boy !","O insupportable and touching another , ah !"
"Old Montague is here , and he's waving his sword around just to make me mad .","Much is here he is , And on his knees he calls me And make a single drop of hair ."
I can read .,I can't speak .
Then I'll call you a serving-creature .,Then I'll call you a taunting bed .
"But as soon as the sun rises in the east , my sad son comes home to escape the light .","But as as the northern star , The head in my thumbs , How fares the general and my daughter forth ."
"Poison , I see , has been the cause of his death .","Faith , I have heard , the state of death had kings ."
"Or if it did not , Your first is dead , or 'twere as good he were , As living here and you no use of him .","Or if it doesn't know that , or your wife's dead , or if he were as good , and yet that you were no equal to kill him ."
"There is no world without Verona walls But purgatory , torture , hell itself .","There is no more mixed on the lookout , however often able to kill myself , who is the man himself ."
"Oh , mickle is the powerful grace that lies In herbs , plants , stones , and their true qualities .","Oh , the royal world is that great positions of blood , dreadful , and dreadful ones , their bad qualities are together ."
That villain cousin would have killed my husband .,That villain would have my husband had it been a child .
"Oh nature , what were you doing in hell ?","O , which you were in what you are , there would be I thus ."
Do not deny to him that you love me .,Don't let him know that you would love me .
He was not born to shame .,He was just a lot to say .
"How should madmen hear , if wise men can't even see ?","How should Caesar be , if thou beest a Roman , thou shalt hear ?"
"The ground is bloody. , Search about the churchyard .","The ground is brown , it's full of his animal ."
Where are the vile beginners of this fray ?,"Where are the royal family , like this ?"
Monday !,Worthy gentleman !
"Either you , or I , or both of us have to go with him .","Either thou , or I , or some of us shall go to bed ."
And so did I .,And so did I .
"Things have turned out so unluckily , sir , that we haven't had time to convince our daughter to marry you .","Things have not burst out , so that we have , we had not cause to offend you , To give us to your daughter ."
"Feeling the loss like this , I can't help but weep for him forever .","Methought the loss like this , I can not weep for thee , nor shall I live ."
"I'll send to one in Mantua , Where that same banished runagate doth live , Shall give him such an unaccustomed dram That he shall soon keep Tybalt company .","I'll send to one one in fact that , someone else , that God's Edward wouldn't say , she'd give him an example of all this things , but he'll keep her company ."
"Then I defy you , stars !","Then I pleaded you , Ariel !"
That is because the traitor murderer lives .,That is the innocent man who wants to die .
Confusion's cure lives not In these confusions .,Sadness is only half an hour of love .
Have you killed Tybalt ?,Have you killed him ?
He was my brother's son !,He was my son of Marcus Cato !
"Come , night .","Come on , boy ."
It looks to me like it's burning in the Capulet tomb .,It looks like me to behold a wall out In its own nest .
"Stay , then .","Stay , then ."
