text1,text2
"I watched the show up until season four , after that I was no longer interested .","i liked it was the show until season four , after that I was no longer interested ."
"Simply put , fewer people favor TabooBuster and Osama !","Simply put , you smell cold and join and Deicide !"
they both su * k . Paris is a dumbass no talent sl * t and jessica is jsut brain dead,I do not think it is a good movie .
"Yes , but if you earn enough points you can request more .","yes , but if you have enough points you can request more ."
I went to Best Buy today and I never have seen so many DVD &apos;S of just t.v.,I went to Best Buy It and I have never seen so many of DVD &apos;s just an option .
He assumes that people need good comedy .,He tells you that much rock comedy .
"Aerosmith , Def Leopard and AC / DC and sorry I have 4 ; Boston too !","Yes , I am not sure , but I have not heard of them ; only too !"
I dun think he loves her,I believe he loves her .
"From men , McCartney , and from women , Lindsay Lohan .","From men , emo , and from Lindsay Lohan , emo ."
i wipe them on the floor or bed .,I recommend them on the floor or bed .
Ever wonder why men think a lot and women talk a lot ? ?,This person wonder why a lot of women and talk a lot ?
SOUNDS GOOD TO ME.HOW ABOUT THE REST OF YOU ? ? ?,I am a fan of the song that is the best song ?
"Every time I hear that particular song , I become excited .","Every time I hear that particular song , I &apos;m fairly excited ."
therefore it must be the chicken !,Though it must be the chicken !
The first appearance of The Joker was in a 1940 Comic called Batman # 1 .,The first one of The Hills Have Eyes in a Geisha called Bruce Lee rocks .
i tape stuff on tape but i watch DvD &apos;s,I wish I was a good movie .
"Some of my favorite television series are Monk , The Dukes of Hazzard , Miami Vice , and The Simpsons .","yep , i think that is a good movie ."
there aren &apos;t any words that rhyme with orange .,There aren &apos;t any words that began with orange juice .
But my sister is like obsessed with him ! ! !,"I am not sure , but I am not sure ."
my friends talk about me because i still blast his music through my apartment on a regular basis,I do not know how to me because I love his music through my own on a regular table .
"she &apos;s just a tomboy and a good athlete , that doesnt make her gay !",I can &apos;t believe that you are a good movie .
Hoopz does not want Flav at all .,He does not bother him at all .
"If you want to live , talk and dream about it , I would suggest moving to either Japan or China .","if you want to live , talk and dream about it , I would suggest seeing him to either China or Target ."
"Not gay just 2 let you know , but you should already know BEYONCE WILL ALWAYS BE BETTER LOOKIN !","I have not heard of the movie , but you should know how much trouble would be named Bobby &apos;s !"
I merely require a small number of rhymes regarding sickness or illness .,yes i have a lot of a lot of ideas or something similar .
Ur right I cant answer it .....,What I can do it .
He must of learned some skills after seeing all those fights .,"yeah , i would say but if they were all over those ."
I &apos;m not a Rock fan ... but I hate George Clooney .,I &apos;m not a fan Rock though . I hate George Clooney .
"My dad looks like Paul Newman , and my ex looked like king kong","My dad looks like Paul Wall , my ex @-@ shirt like George Clooney ."
"I think if ur famous enuf , u wont actually have time to sit here and answer questions ..","I am not sure if you ever get enough , i actually have to answer and here questions and answer questions ."
"No one will forget TLC , as their songs were emblematic of a particular generation of young women .","no one will be dumb , but their songs were a lot of plastic Smith and a couple of money ."
How will you feel if someone chooses to throw a funeral party for you when you are between sixty and seventy years old ?,how did you know what you will tell you
"American Idol , House , and Grey &apos;s Anatomy are my top three .","American Idol , House , and Your Life &apos;s are my top 3 ."
iano but thats such a good song .,Tomorrow is such a good song .
It piques my interest ; what is it about ?,why do u want to do it ?
"I &apos;m asking because only some have it and some don &apos;t , but I think its a little stupid .","I &apos;m asking because only because some songs are not , but I think its a little stupid ."
I do and I am way over 17 .,I do and I am not married 17 .
"A genius can manipulate people into believing his idea , but an unintelligent person cannot .","a bit torrent for people to see his voice , but an idea why cannot ."
"i think they would have , quite a shame isn &apos;t it","It is possible , they would have been a chance , it is not a good movie ."
That person in hilarious .,that person in spanish and i think it is a good movie .
