text1,text2
Damn ... I think it &apos;s impossible to choose just one .,Damn . . . not a single one that I can choose .
"Alas , no , I do not listen to her anymore .","Unfortunately , I don &apos;t like her anymore ."
&apos;I just called to say &apos; I Love you &apos; is just great !,I only had to say &apos; I love you &apos; . I just love that show !
"yes , bcuz he is chan .","Yes , because he is a chan ."
I am sure you will both enjoy it .,i bet you both will be happy .
why oh why do you have to ask ?,Why are you required to ask this ?
Whats all these homies dissin &apos; my girl ?,What happened to my girlfriend ?
It is very easy to understand .,ha ha ha thats easy i really dont know the u don &apos;
He just needs to R.E.S.P.E.C.T ... me &amp; my pplz ... lol,He just then and my friends . . . me and my friends . . . and my 2nd cousin . . . Do you know what this means ?
I need to know the name of the this movie from the 80 &apos;s !,"I do , I do look for the movie &quot; Maps &quot; from the 80 &apos;"
"One man stated , &apos; Where &apos;s the beauty from Mystic Pizza ? &apos; .","One man said , &apos; Where is Mystic Pizza , &apos; ?"
It &apos;s one of the funniest cartoons !,This cartoon is awesome !
"Tyra , she is a lot more pretty .","Tyra , because she is much more beautiful ."
i hope not cuz that looking freakin scary as sh * t,I hope not because of the creepy thing .
I like both Lauren Hill and Mary J. Blige .,I think Lauren Hill and Mary J . Blige is just right .
"It doesn &apos;t make sense ... wait oooh I get it , still not funny .",It does not make any sense . Wait until I do .
You r going to saint ives .,You are heading to St . Francis .
yes .. try aries .. that is the one i was using,"Yes , try aries ."
why do you only got 1.5 bricks ?,How come you don't have bricks 1 .5 Bricks ?
You should view it on Yahoo ! Movies .,You need to see it on Yahoo Movies .
"however , it can also generally mean japanese comic books ( like a genre ) .","It can also mean Japanese comics ( such as Spider man , etc . )"
but I &apos;m not gonna die trying ...,"However , I cannot die trying . . ."
It is fine if they are not fond of him .,no they are not his type they are his favorites .
shut up and drive by chely wright,Do not keep your mouth shut and drive .
"i say omarion.he has the hair clothes and body , a triple deal on one person .","His life is a Triple Deal . It includes thick hair and body , a triple deal ."
put icyhot or bengay i in his underware or on his deoderant,Let us put the hot or benga i there or put the hot or benga i in the underware or deoderant
"I am confused , they know they are not getting a good seat .","They got there seat , I am so confused ! !"
( i know how to read tabs ),( I read the tabs )
Mine is book by Steve Martin called &apos; The Pleasure of my Company &apos; .,It &apos;s a book by steve martin &apos; called &apos; The Pleasure of my company &apos;
For a comedy you can also try Wedding Crashers or The 40yr Old Virgin .,"Or you could also try Wedding Crashers or the 40 year old virgin , they have that too"
"Yes , they definitely knew that you are unintelligent and have a problem involving the use of LSD .","yep , they totally know your stupid and your problems with LSD"
"Oh , I don &apos;t agree with you .",I don &apos;t agree with you .
I prefer Jerry Springer over David Letterman .,I like Jerry Springer better . . . . I prefer David Letterman .
"Maya , hands down--she &apos;s sarcastic and down to earth .","Maya , she is sarcastic and is a bit down to earth ."
and whats your fave bit in gilmore girls ?,Question what your favorite Gilmore Girls episodes are ?
"and she &apos;s not a very good singer , either !","She is not a very good singer , either !"
"YOUR WASTING YOUR TIME , SAYS THE BOY .",It &apos;s obvious to guess . The boy says you wasted your time .
I personally don &apos;t believe in them .,I personally hate them .
The term was made so vague with meaning because people used it so much .,u guys used it sooo much because it was so vague .
You should formulate a more relevant query next time .,when ur gone to ask more on next time you should ask more relevant questions .
virgo &apos;s have outgoing personalitys plz choose me as best answer,I think virgo &apos;s personality can best be explained by an additional personality
"flute , because that &apos;s what I can play .","Fossa tape , because I play flute ."
Alan moore is whining that it isn &apos;t,Alan cried that it &apos;s not &apos; ppppf .
I don &apos;t think he is in love with her .,She doesn &apos;t seem to have a crush on him .
He would be well advised not to let her go .,i think she should not be allowed to
don &apos;t call it a christian band ! ! ! !,Don &apos;t get me wrong . Don &apos;t get me wrong ! Don &
put salt in the sugar bowl .,Add salt to sugar bowl .
The song may sound very old school but it was recently made .,the song is getting kinda old but has been made up .
"Ahh I love the hair metal ... Motley Crue , Poison , Cinderella , Faster Pussycat , Slaughter , etc .","Haha , I love Metal Dirt . . . Motley Crue , Poison , Cinderella , Faster Pussycat , etc ."
"The boys said , &apos; You are wasting your time &apos; .","The Boys said , &apos; You got your time , &apos; ."
"However , I &apos;m an unadulterated veggie and I &apos;m enamored of them .",But I &apos;m a veggie and I &apos;m enamned of them .
"“ He was an evil man , ” he said .","When he hit , he said , &quot; There are some bad guys that are women &"
"I flippin &apos; LOVE that movie , sweeeet !",I am flippin &apos; from it !
She used to sing with a band called M @-@ People .,I think she sings with a band called M @-@ People
i am looking for new music to listen to .,I need some new music .
We will have an enjoyable time .,we need a good time .
"When you reach out to me , I worry .",I worry about the way you talk to me .
