text1,text2
// France was enjoying a quiet and prosperous moment.,// France was enjoying a quiet and prosperous time.
"We were starving, anyway, so we headed over to the ridgetop restaurant, Refugio Lynch, one of 10 restaurant/huts on Gran Catedral.","we were hungry, so we went to the restaurant, Refugio Lynch, which was a 10-storey building."
""" Well, next time get your bike company to put up the money, and we'll do it the easy way, "" Bowie said . ""","""all right, next time we'll put money on the bike company,"" said Bowie."
Are you speaking for your political constituency or simply on your own?,do you speak for the party or just yourself?
Want to know how cold it is at the South Pole?,do you know how cold it is in the South Pole?
"Well, I'll just leave that to you and the talking heads at PBS to decide, won't I?","I'll leave it to you and the talking heads at PBS, okay?"
"That required that he wait for a break in the weather, a reliable week or two in which to travel.","he had to wait for a break in the weather, a reliable week or two when he could travel."
"Several are there on scholarship, with no more assets than our Dooley . ""","there's a couple of them on scholarship, and they don't have any more assets than our Dooley"
"<p> "" The man you're going to kill has, "" Captain Williams said.","""you'll kill the man you're gonna kill,"" Captain Williams said."
"In the middle is a large square table, where Ahl's mother does her accounts, arranging colored stones in rows.","there's a large square table, where Ahl's mother is doing her accounts, and she's arranging colored stones in rows."
"As long as you keep eating, the food keeps coming.","if you eat, the food will keep coming."
A wife gives to her husband and grows to love him.,a woman will give her husband and she will love him.
"She placed me in an ordinary white bathtub filled with cold water, and there I survived.","she put me in a white bath filled with cold water, and I survived."
"The World Trade Center was gone, but it had never really belonged.","the World Trade Center was destroyed, but it wasn't really."
"Men began to adopt formerly feminine attitudes when the subject of marriage came up, pleading weakness and indecisiveness, as in: "" I don't know; I'm just not ready yet "" or "" Of course I love you, but like, you know, I start weirding out when I try to focus on it . ""","when the subject of marriage was brought up, the women began to adopt the same old-fashioned attitudes as: ""I don't know; I'm not ready yet."""
"In fact, it may have prepared them against it . ""","in fact, they may have prepared them for him."
"Mam's belly rippled and bulged a final time, then hardened into one long, unceasing contraction.","mom's belly was still rippling and bulging, then hardened into a long, continuous contraction."
"In fact, they had been told and gave it to me.","in fact, they've told me and they gave it to me."
"But we'll talk, "" he says . ""","""he says,"" but we'll talk,"" he says."
"Blood Lipid Profile When doctors order a lipid profile, they are measuring the levels of all the cholesterol in your blood, both good and bad.","blood lipid profile When doctors order a lipid profile, they measure the levels of cholesterol in the blood."
"* For a smooth amaretto sip (sans alcohol), add 1 1/2 tablespoons of powdered nondairy creamer, a dash of cinnamon, a few drops of almond extract, and 1 1/2 tablespoons of confectioner's sugar to a cup of coffee.","1 1 / 2 tablespoons of powdered non-dairy creamer, a dash of cinnamon, a few drops of almonds, a few drops of almonds, a few drops of almonds, a few drops of almonds, a few drops of almonds, a few"
"Do you remember what you told the kids when they left the house? ""","when the kids left the house, did you remember what you told them?"
"He took one step, then another, but his reactions seemed sluggish, his torpor doubtless a result of the powerful chemical still not entirely purged from his body.","he moved, then moved again, but his reaction was sluggish, as if he had been in a strong chemical."
