text1,text2
Damn ... I think it &apos;s impossible to choose just one .,Damn . . . I don &apos;t believe I can pick just one .
"Alas , no , I do not listen to her anymore .","unfortunately it sucks , i don &apos;t listen to her anymore ."
&apos;I just called to say &apos; I Love you &apos; is just great !,"I only say this to say &apos; I love you &apos; , I get you to sing with me !"
"yes , bcuz he is chan .","Yes , because he was a chan ."
I am sure you will both enjoy it .,Well I bet you both of you are happy .
why oh why do you have to ask ?,Why do you need to ask that ?
Whats all these homies dissin &apos; my girl ?,What happened to my girl ?
It is very easy to understand .,It &apos;s easy to follow .
He just needs to R.E.S.P.E.C.T ... me &amp; my pplz ... lol,"He just stopped getting back to us , me and my friends . . . me and my boyfriend . . ."
I need to know the name of the this movie from the 80 &apos;s !,I have checked in www .azlyxxydetectorypants .com . From the 80 &apos;s
"One man stated , &apos; Where &apos;s the beauty from Mystic Pizza ? &apos; .","One man says , &apos; Where &apos;s the magic of Mystic Pizza ?"
It &apos;s one of the funniest cartoons !,That was an excellent cartoon !
"Tyra , she is a lot more pretty .","Tyra , because she is much more beautiful ."
i hope not cuz that looking freakin scary as sh * t,I hope it &apos;s not because of the scary thing .
I like both Lauren Hill and Mary J. Blige .,"Lauren Hill and Mary J . Blige are GREAT , robert had a fan too"
"It doesn &apos;t make sense ... wait oooh I get it , still not funny .","It does not make any sense , wait till I can come to you ."
You r going to saint ives .,You can go to Holy Paris .
yes .. try aries .. that is the one i was using,"Yes , try aries ."
why do you only got 1.5 bricks ?,Why don't some bricks for 1 .5 ?
You should view it on Yahoo ! Movies .,u should see it in yahoo movies .
"however , it can also generally mean japanese comic books ( like a genre ) .","It can also mean Japanese comics (as a genre) . However , I must stipulate that ."
but I &apos;m not gonna die trying ...,"I don &apos;t know , though I won &apos;t die trying"
It is fine if they are not fond of him .,not that they like him but hey .
shut up and drive by chely wright,Please keep your mouth shut and drive safely .
"i say omarion.he has the hair clothes and body , a triple deal on one person .","He has hair and body , along with a triple deal ."
put icyhot or bengay i in his underware or on his deoderant,First place a hot or benga i in the underware or on deoderant
"I am confused , they know they are not getting a good seat .","I &apos;m so confused , they don &apos;t have a good seat ."
( i know how to read tabs ),(I do go to tabs)
Mine is book by Steve Martin called &apos; The Pleasure of my Company &apos; .,I think it is &apos; The Pleasure of my company &apos; Steve Martin .
For a comedy you can also try Wedding Crashers or The 40yr Old Virgin .,Or you could also go to Wedding Crashers or The 40 Year Old Virgin .
"Yes , they definitely knew that you are unintelligent and have a problem involving the use of LSD .",Yes they must be aware of your stupidity and your LSD addiction .
"Oh , I don &apos;t agree with you .",I disagree with you .
I prefer Jerry Springer over David Letterman .,I prefer David Letterman over Jerry Springer . . .
"Maya , hands down--she &apos;s sarcastic and down to earth .","Maya , since she is sarcastic and down to earth ."
and whats your fave bit in gilmore girls ?,Question : What is your favorite thing to do with pictures of the Gilmore Girls Girls ?
"and she &apos;s not a very good singer , either !",She is not a very good singer either !
"YOUR WASTING YOUR TIME , SAYS THE BOY .",Boy says that you wasted your time .
I personally don &apos;t believe in them .,I personally don't like them either .
The term was made so vague with meaning because people used it so much .,the people used that song so much because they were so vague
You should formulate a more relevant query next time .,Next time ask more outdated questions .
virgo &apos;s have outgoing personalitys plz choose me as best answer,Virgo &apos;s have a personality that will set them apart as the best .
"flute , because that &apos;s what I can play .","Flute , because I play the flute ."
Alan moore is whining that it isn &apos;t,Alan is crying that he never joined &apos;s .
I don &apos;t think he is in love with her .,nothing about him seems to like her .
He would be well advised not to let her go .,i don &apos;t think she should go .
don &apos;t call it a christian band ! ! ! !,Don &apos;t lie ! They aren &apos;t Christian bands !
put salt in the sugar bowl .,Add salt to your sugar bowl .
The song may sound very old school but it was recently made .,the song is old school but it has been made .
"Ahh I love the hair metal ... Motley Crue , Poison , Cinderella , Faster Pussycat , Slaughter , etc .","(The lyrics) Oh , I love the hair metal &apos;s . . . Motley Crue , Poison , Cinderella , Faster Pussycat , etc ."
"The boys said , &apos; You are wasting your time &apos; .","The boys said , &apos; Get away from wasting your time &apos; ."
"However , I &apos;m an unadulterated veggie and I &apos;m enamored of them .",But anyway I &apos;m veggie and I &apos;m enamored of her !
"“ He was an evil man , ” he said .",He said he was a bad person .
"I flippin &apos; LOVE that movie , sweeeet !",I flippin &apos; love it !
She used to sing with a band called M @-@ People .,She sang w / a band called M @-@ People .
i am looking for new music to listen to .,I am looking for some new music .
We will have an enjoyable time .,we should have a good time . .
"When you reach out to me , I worry .",i am a sry once you mention to me that ur a man .
i wishh poeple would look at more than zodiac signs,I want to see more than zodiac sign charts .
But it would be wonderful if they created a special reunion episode of something of that nature ( I really enjoy that show ) .,but i really liked tont because tney- i can really do something with the show .but the show i really liked was simpsons cd special episode
"Your mother is so stupid , that she sold the car for gas money .","youre mother sucks , she sold that truck for way too much money"
I loved all the characters and Bill Cosby was SO funny without being crude !,"Bill Cosby was funny , but not so funny !"
"he took a nice catholic girl and turned her into a scientology freak , katie holmes is EXTREMELY naive !","I think he is a good Catholic girl , and turned her into an insane scientologist . Katie Holm !"
I am so excited to see them in May !,I am so excited to see them at the end of May ! !
I don &apos;t believe your mama is stupid at all !,I think that your mom is not unintelligent !
Does &apos; gay &apos; still mean &apos; happy &apos; ?,And So does &apos; gay &apos; Happy &apos; ?
your ganna have to take guitar classes,Go to a guitar lesson . It is not the gear you are accustomed to .
"I stopped liking rap , there are just too many people .","i don &apos;t like rap anymore , it &apos;s too many people liking it ."
I like when the Prime Minister goes door to door to find the girl !,I am glad the Prime Minister is in fact going door to door to find this girl !
"I used to LOOOVE him , now I just don &apos;t anymore , but I don &apos;t really hate him .","I loved HIM , but not as much as I did LOOOVE HIM ."
..... Yeah I think I got it .,"Yes , I sure do ."
