text1,text2
"Alas , no , I do not listen to her anymore .","yep , no , i dont listen to her anymore ."
&apos;I just called to say &apos; I Love you &apos; is just great !,I just like to say &quot; The Love &apos; is You &quot; is great !
"yes , bcuz he is chan .","Yes , he is jealous ."
I am sure you will both enjoy it .,i think you will both have it from it .
why oh why do you have to ask ?,Why are why you do not have to ask ?
Whats all these homies dissin &apos; my girl ?,Is all these men ?
It is very easy to understand .,i think its free to tell you
He just needs to R.E.S.P.E.C.T ... me &amp; my pplz ... lol,"I do not know , but I am not sure ."
I need to know the name of the this movie from the 80 &apos;s !,"I need to know the name of the movie from this website , but I am not sure !"
"One man stated , &apos; Where &apos;s the beauty from Mystic Pizza ? &apos; .","One man says , &apos; What &apos;s the beauty from the wedding &apos; ?"
"Tyra , she is a lot more pretty .","Additionally , she is a lot more than a very attractive ."
i hope not cuz that looking freakin scary as sh * t,I hope that you will not be able to find it as well as I am not sure .
I like both Lauren Hill and Mary J. Blige .,I like both Hill and Mary J Blige .
"It doesn &apos;t make sense ... wait oooh I get it , still not funny .",It doesn &apos;t make sense .
You r going to saint ives .,You are going to succeed .
yes .. try aries .. that is the one i was using,"Yes , but I am not sure that I was using the internet ."
why do you only got 1.5 bricks ?,Why do you only get canceled jobs ?
You should view it on Yahoo ! Movies .,you can find it on yahoo ! ! !
"however , it can also generally mean japanese comic books ( like a genre ) .","Yes , it is also a good movie ."
but I &apos;m not gonna die trying ...,"I am not sure , but I am not sure ."
It is fine if they are not fond of him .,i think it is probably if they are not gay .
shut up and drive by chely wright,Go to the movie and it is a good movie .
"i say omarion.he has the hair clothes and body , a triple deal on one person .","I say hello to the hair metal and body , a lot of person on one person ."
put icyhot or bengay i in his underware or on his deoderant,"I do not know , but I am not sure ."
"I am confused , they know they are not getting a good seat .","i &apos;m confused , they are not really good , they are getting a good deal ."
( i know how to read tabs ),The song is how to read &quot; tabs &quot; .
Mine is book by Steve Martin called &apos; The Pleasure of my Company &apos; .,Mine is by Jack Johnson ( by the gang of my fav &apos; .
For a comedy you can also try Wedding Crashers or The 40yr Old Virgin .,try a good place you can also try an HP or the City below .
"Yes , they definitely knew that you are unintelligent and have a problem involving the use of LSD .",yes i think they were just a good band and you have a problem of the use of limewire .
I prefer Jerry Springer over David Letterman .,I prefer Paris Hilton over David Lee Roth .
"Maya , hands down--she &apos;s sarcastic and down to earth .","Alternatively , hands down her head and down to earth ."
and whats your fave bit in gilmore girls ?,I do not know how to be in the world ?
"and she &apos;s not a very good singer , either !","Please be very fond of the artist , &quot; No , &quot; !"
"YOUR WASTING YOUR TIME , SAYS THE BOY .","Try the fourth of Narnia , but I am not sure ."
The term was made so vague with meaning because people used it so much .,the same thing was so good wit people because it used so much better .
You should formulate a more relevant query next time .,well i think you can get a good ideas for this time .
virgo &apos;s have outgoing personalitys plz choose me as best answer,It is a good movie .
"flute , because that &apos;s what I can play .","Alternatively , because that &apos;s what I can play ."
Alan moore is whining that it isn &apos;t,It is illegal .
He would be well advised not to let her go .,He would be hard to be let her go .
