text1,text2
Damn ... I think it &apos;s impossible to choose just one .,Alright . I think it &apos;s difficult to choose just one .
"Alas , no , I do not listen to her anymore .","Nope , no , I do not listen to her anymore ."
&apos;I just called to say &apos; I Love you &apos; is just great !,I just wanna say &quot; I just love you &quot; is just a great song !
"yes , bcuz he is chan .","Yes , he is deceased ."
I am sure you will both enjoy it .,I am sure you &apos;ll both enjoy it .
why oh why do you have to ask ?,Why do you not have to ask ?
Whats all these homies dissin &apos; my girl ?,Was all these words &apos; My Heart &apos; ? &apos;
It is very easy to understand .,i think its very hard to tell you
He just needs to R.E.S.P.E.C.T ... me &amp; my pplz ... lol,He just needs to stop . He is my sister ; I do not know .
I need to know the name of the this movie from the 80 &apos;s !,I need to know the name of this movie from the movie &quot; The Devil &apos;s Rejects &quot; .
"One man stated , &apos; Where &apos;s the beauty from Mystic Pizza ? &apos; .","One man , &apos; What &apos;s the guy from the yellow hat ? &apos;"
It &apos;s one of the funniest cartoons !,It &apos;s one of the greatest hits series !
"Tyra , she is a lot more pretty .","Probably , she is a lot more than a very few ."
i hope not cuz that looking freakin scary as sh * t,He is not that looking because it is awful as well as possible .
I like both Lauren Hill and Mary J. Blige .,I like both of them and Big Brother ... but I like it .
"It doesn &apos;t make sense ... wait oooh I get it , still not funny .","It doesn &apos;t make sense . I get it , I still get it , not funny ."
You r going to saint ives .,You are going to be honest .
yes .. try aries .. that is the one i was using,"Yes , try ; that is the one I could enjoy ."
why do you only got 1.5 bricks ?,Why do you only purchase Lime Wire ?
You should view it on Yahoo ! Movies .,you should buy it on yahoo music !
"however , it can also generally mean japanese comic books ( like a genre ) .","However , it can also mean &quot; The Jerk &quot; , &quot; I like a DJ &quot; ."
but I &apos;m not gonna die trying ...,There &apos;s not to be married . I am not sure .
It is fine if they are not fond of him .,i hope they are fine if they are not him
shut up and drive by chely wright,Shut up and select by the letter C.
"i say omarion.he has the hair clothes and body , a triple deal on one person .","He says to have the hair and a black , a human suit , one person on one ."
put icyhot or bengay i in his underware or on his deoderant,Put him in your mouth or I can not see his or on his hands .
"I am confused , they know they are not getting a good seat .","I am sorry , they know they are not getting a good deal ."
( i know how to read tabs ),"Unfortunately , I know how to read &quot; Prison Break &quot; ."
Mine is book by Steve Martin called &apos; The Pleasure of my Company &apos; .,Mine is by White Horse ... and &apos; The Used ... &apos; &apos; by the way
For a comedy you can also try Wedding Crashers or The 40yr Old Virgin .,For a movie you can also try The Big Boi or Comedy Central ...
"Yes , they definitely knew that you are unintelligent and have a problem involving the use of LSD .",yes they probably knew that you are a stalker and have a problem with the first of them .
"Oh , I don &apos;t agree with you .","Oh , I don &apos;t agree with you ."
I prefer Jerry Springer over David Letterman .,I prefer David Holmes - Hands Down 9 .
"Maya , hands down--she &apos;s sarcastic and down to earth .","Probably , hands down , and landed on to earth ."
and whats your fave bit in gilmore girls ?,When are your in between those ?
"and she &apos;s not a very good singer , either !","When she &apos;s not a very good singer , either !"
"YOUR WASTING YOUR TIME , SAYS THE BOY .","My Chemical Romance , Green Day , The OC ."
I personally don &apos;t believe in them .,I personally don &apos;t believe in them .
The term was made so vague with meaning because people used it so much .,the book was so made with so many people think it used to be so much .
You should formulate a more relevant query next time .,you should be a more specific than the next time
virgo &apos;s have outgoing personalitys plz choose me as best answer,Usher &apos;s has a answer please choose me as best answer .
"flute , because that &apos;s what I can play .",Regardless of what that &apos;s because I can play .
Alan moore is whining that it isn &apos;t,Brian Johnson is that it isn &apos;t .
I don &apos;t think he is in love with her .,I don &apos;t think he is in love with her .
He would be well advised not to let her go .,i would be willing to do not let her go .
don &apos;t call it a christian band ! ! ! !,I don &apos;t call it a band called a zombie !
put salt in the sugar bowl .,Put the results in the bathroom .
The song may sound very old school but it was recently made .,the song may sound pretty much but it was made it ever been .
"Ahh I love the hair metal ... Motley Crue , Poison , Cinderella , Faster Pussycat , Slaughter , etc .","I love the hair of the heavy metal . Young Frankenstein , etc ."
"The boys said , &apos; You are wasting your time &apos; .","The guys said , &apos; You &apos;re your all time &apos; ."
"However , I &apos;m an unadulterated veggie and I &apos;m enamored of them .",oh my god i &apos;m an avid fan of them and I &apos;m hooked .
"“ He was an evil man , ” he said .","&quot; He was an evil man , &quot; he said &quot; &quot; Okay . &quot;"
"I flippin &apos; LOVE that movie , sweeeet !","I am unsure of that song , &quot; The Simpsons &quot; !"
She used to sing with a band called M @-@ People .,She used to sing with a band called @-@ men .
i am looking for new music to listen to .,He is looking for new music to listen to .
We will have an enjoyable time .,u will have an awesome tv show .
"When you reach out to me , I worry .","When you get out , I wanna see me ."
i wishh poeple would look at more than zodiac signs,"He would be looking at more than likely , then ."
But it would be wonderful if they created a special reunion episode of something of that nature ( I really enjoy that show ) .,But it would be wonderful if they were a remake of a comedy or something that I really enjoy ( of that show )
"Your mother is so stupid , that she sold the car for gas money .","Yo mama &apos;s so stupid , she sold the car for gas on the beach ."
I loved all the characters and Bill Cosby was SO funny without being crude !,I loved all the creatures and the actress was very well without being shot !
"he took a nice catholic girl and turned her into a scientology freak , katie holmes is EXTREMELY naive !","She took a nice girl and killed her into a bar , her arm , and joins the others !"
I am so excited to see them in May !,so i am gonna see them in May !
I don &apos;t believe your mama is stupid at all !,I don &apos;t believe your mom is stupid at all !
Does &apos; gay &apos; still mean &apos; happy &apos; ?,does &apos; mean girls &apos; still &apos; talk &apos; ?
your ganna have to take guitar classes,My attempt to make your own guitar .
"I stopped liking rap , there are just too many people .","I stopped listening to there , just some people are too lazy ."
I like when the Prime Minister goes door to door to find the girl !,I like when the sidewalk is going to London until the lady is a girl !
"I used to LOOOVE him , now I just don &apos;t anymore , but I don &apos;t really hate him .","I used to watch him , now I don &apos;t just anymore , but I don &apos;t really hate him ."
..... Yeah I think I got it .,Yes . I think I got it .
"I desire to meet my favorite bands and I am very fond of rap music , especially Reliant K.","I want to meet my favorite bands and I am pretty sure of rap , especially my favorite songs ."
The movie is Cheeh and Chongs &apos; Up In Smoke.&apos;,The movie is called &apos; When in September Ends &apos; by that song
I love that show and I keep watching the reruns,I love that show and I enjoy the reruns of the show .
It must have been the chicken .,i have to choose the original .
I just saw it last week .,I just saw it last week .
"This is obviously hypothetical , although I am curious concerning other opinions .","its probably me , i prefer most of them online ."
I don &apos;t really know bout the kids though .,I don &apos;t really know the reason why are people not really ugly .
I love and am a big fan of Green Day .,I love and I am a big fan of that .
dont let anyone decide the fate but you .,Do not let anyone tell you the truth .
Its all about FEARFACTOR baby lol .,Its all about baby doll shoes .
"Well , I rather like Lucius Malfoy .","Well , I rather like Ashlee Simpson ."
i want 2 listen 2 good music but i dont knw wat 2 listen 2 ! ! ! ! ! ! ! ! ! !,It is hard to listen to the music but I do not listen to the two points !
he takes off and never goes home .,She takes off and never went home .
They had a lot of interesting and good qualities things during the 1990s .,they had a lot of interesting voices and the ending sucked .
Celebrities are the cause of the excessive number of girls with anorexia .,yep the r &amp; b of the same ones with a bunch of people .
Orlando Bloom and Chad Michael Murray are both really attractive !,Orlando Bloom : They are both really sexy !
"He was so scared , it caused him to have a heart attack .","i was so disappointed , it made him to have a heart attack ."
I guess that means Simon likes blondes !,I suppose that means Paris Hilton is not !
I believe that you meant to say psychic .,I think that you meant to be kidding ...
is ther a goos tool for mixing songs ?,Is it a great gift for those songs ?
"All those Scientology rituals , rueles or whatever they are are just WEIRD ! !","All those are junk , or whatever they are just are , or are just joking !"
"yea , um , this is a korean singer , who is really good .","Please contact me , this is a homosexual , who is really good ."
I invented a hanger which made me famous .,I threw a pic of which made me care .
It should be free to download and have easy to understand features .,i use limewire and download it to have to be wrong and then
Even The Cure has love songs and most of their stuff is pretty dark .,Even the two of them has love and most of their stuff is very large .
read numbers upside down and right side up,I read four months and laugh yourself .
Oh I did hear the Bjork @-@ Chaney joke .,"Oh I did hear the song &quot; The Jerk &quot; , I know ."
"a little lovin &apos; , a box @-@ o @-@ wine , and that man @-@ o @-@ mine !","A little &quot; F &quot; , &quot; A @-@ Lot &quot; , and that @-@ man @-@ law @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee @-@ dee !"
That was the best joke i have heard so far ...,That was the best joke I have heard so far .
The Rock for hot steamy sex !,The rock for being hot ! ! !
let &apos;s get together yeah yeah yeah !,"Let &apos;s get together , yes , they are !"
"We Filipinos speak English very well , we &apos;re very hardworking and wise .","We &apos;re singing well , very wild , we &apos;re pretty and we &apos;re not smart ."
I enjoy listening to the Goo Goo Dolls and Relient K.,I LOVE listening to the song by The Beatles and The Postal Service
