text1,text2
&apos;I just called to say &apos; I Love you &apos; is just great !,I just wanna say &quot; I just love you &quot; is just a great song !
I need to know the name of the this movie from the 80 &apos;s !,I need to know the name of this movie from the movie &quot; The Devil &apos;s Rejects &quot; .
It &apos;s one of the funniest cartoons !,It &apos;s one of the greatest hits series !
I like both Lauren Hill and Mary J. Blige .,I like both of them and Big Brother ... but I like it .
He would be well advised not to let her go .,i would be willing to do not let her go .
"Ahh I love the hair metal ... Motley Crue , Poison , Cinderella , Faster Pussycat , Slaughter , etc .","I love the hair of the heavy metal . Young Frankenstein , etc ."
She used to sing with a band called M @-@ People .,She used to sing with a band called @-@ men .
I love and am a big fan of Green Day .,I love and I am a big fan of that .
i want 2 listen 2 good music but i dont knw wat 2 listen 2 ! ! ! ! ! ! ! ! ! !,It is hard to listen to the music but I do not listen to the two points !
Orlando Bloom and Chad Michael Murray are both really attractive !,Orlando Bloom : They are both really sexy !
let &apos;s get together yeah yeah yeah !,"Let &apos;s get together , yes , they are !"
my friends talk about me because i still blast his music through my apartment on a regular basis,My friends talk about me because I still enjoy his music on a record label .
