text1,text2
Were you talking about Juliet ?,Were you not so ?
Tis now near night .,It's just near night .
"I am too sore enpierced with his shaft To soar with his light feathers , and so bound , I can not bound a pitch above dull woe .","I am too expensive with his own idiot with his own light suits you , and so far can not let a guide strike a burning instant easy ."
How sweet is love itself possessed When but love's shadows are so rich in joy !,"How sweet is love itself ! "" Then all the other thing so deeply !"
"O happy dagger , This is thy sheath .","Oh , happy , it's your dagger ."
"She's dead , deceased , she's dead .","She's dead , she's a traitor ."
Let me be ta'en .,Let me be cheerful .
"Shall I believe That unsubstantial death is amorous , And that the lean abhorred monster keeps Thee here in dark to be his paramour ?","Should I believe that it's death is spinning"" , and the very special monster keeps here in hell to be dark in his own ?"
Villain am I none .,You're right for me .
"Supper is done , and we shall come too late .","Everything is done , and we won't come too late ."
What eye but such an eye would spy out such a quarrel ?,What eye was an insult or such a disease as worthless ?
Tis late .,It's late .
"Yet I can not choose but laugh To think it should leave crying and say ""ay."" And yet , I warrant , it had upon its brow A bump as big as a young cockerel's stone , A perilous knock , and it cried bitterly .",Whatever I can choose .
Then hie you hence to Friar Lawrence's cell .,Then please go around you to single rules .
"Well , sir , because silver has a sweet sound .","Well , sir , And make a warlike look ."
Give me my sin again .,Give me my robe again .
Now you know the reason for the rush .,Now you know the reason for the watch .
"Monday , my lord .","Good-bye , my lord ."
"Come on , what did Romeo say ?","Come , what did he say ?"
"Inside the little rind of this weak flower , there is both poison and powerful medicine .","Plucking the world of this weak parts , Who is both still curst and mighty blood ."
Her eye in heaven Would through the airy region stream so bright That birds would sing and think it were not night .,Her eye !
"Saint Francis , help me !","Saint Valentine , help me !"
If they do see thee they will murder thee .,If they see things you're fighting about you .
I am sped .,I am
"Right , and well said .","Lo , and well said ."
I will be brief because I'm not going to live long enough to tell a boring story .,"I will be brief , And not be long enough to live a thing to tell ."
"So will ye , I am sure , that you love me .","So please , I am sure , that you love me ."
How art thou out of breath when thou hast breath To say to me that thou art out of breath ?,How are you out of breath when you're married to me that you'll say to me that I'm out of breath ?
Go hence .,Go ahead .
"Either my eyesight fails , or thou look'st pale .","Either my nephew doing , or you look pale ."
