text1,text2
"Goodbye , Goodbye !","Farewell , farewell !"
"Oh , rude and unthankful boy !","Thou art a rude , ungrateful son of a man !"
"Old Montague is here , and he's waving his sword around just to make me mad .","There's Montague , and he waves his sword about like madmen ."
I can read .,I read it .
Then I'll call you a serving-creature .,Then I'll call you servant .
"But as soon as the sun rises in the east , my sad son comes home to escape the light .","As soon as the sun doth rise in the east , My sad son shall return ."
"Poison , I see , has been the cause of his death .",His death was the cause of it .
"Or if it did not , Your first is dead , or 'twere as good he were , As living here and you no use of him .","If he doesn't , he's dead , or he's dead , or he's dead , or he's dead ."
"There is no world without Verona walls But purgatory , torture , hell itself .","There's no world without Veron's walls , but hell ."
"Oh , mickle is the powerful grace that lies In herbs , plants , stones , and their true qualities .","Mickle is the powerful grace that lies in the herbs , plants , stones , and their real qualities ."
That villain cousin would have killed my husband .,My husband would have killed my cousin .
"Oh nature , what were you doing in hell ?",What did you do to nature ?
Do not deny to him that you love me .,"Don't deny it , you love me ."
He was not born to shame .,He's not ashamed of his birth .
"How should madmen hear , if wise men can't even see ?","What , if wise men not see how mad they are ?"
"The ground is bloody. , Search about the churchyard .","The ground is bloody , search the graves ."
Where are the vile beginners of this fray ?,Where are these nasty newcomers ?
Monday !,On Monday .
"Either you , or I , or both of us have to go with him .","We must go with him , or I'll go ."
And so did I .,And I did too .
"Things have turned out so unluckily , sir , that we haven't had time to convince our daughter to marry you .","We had not time to persuade our daughter to marry , my lord ."
"Feeling the loss like this , I can't help but weep for him forever .",I can not help but weep for him .
"I'll send to one in Mantua , Where that same banished runagate doth live , Shall give him such an unaccustomed dram That he shall soon keep Tybalt company .","I'll send him to Mantua , where he'll live , and give him a little of the same doth that he'll soon be with Tybalt ."
"Then I defy you , stars !","I tell you , the stars !"
That is because the traitor murderer lives .,That's because the traitor's murderer is alive .
Confusion's cure lives not In these confusions .,Confusion is a cure for confusion .
Have you killed Tybalt ?,Did you kill Tybalt ?
He was my brother's son !,He is my brother's son !
"Come , night .","Come , night ."
It looks to me like it's burning in the Capulet tomb .,I think it burns in Capulet's tomb .
"Stay , then .","Wait , then ."
They must take it in sense that feel it .,They have to take it as a sense .
Somebody's knocking .,Somebody knocks .
Is my father well ?,Do you think my father's okay ?
What a man are you ?,What do you mean ?
"Be quiet , you mumbling fool !","Be quiet , thou fool !"
Let them judge us however they please .,"How they choose to judge us , We shall judge them ."
Will you speak well of him that killed your cousin ?,Did your cousin kill your cousin ?
Here comes the lady .,The lady is here .
"You , Prince , are the man who can give me justice .","Prince , I am the one that can make you a justice ."
"If in thy wisdom thou canst give no help , Do thou but call my resolution wise , And with this knife I'll help it presently .","If you don't help me , call me wise and I'll help you with the knife ."
Is my father well ?,Think'st thou my father's well ?
Be quick for a while and let the one who lives the longest take everything .,"Quickly , quick , quick , quick ,"
"That I ask again , For nothing can be ill if she be well .","If she's healthy , nothing can be bad ."
Calling death banishment is like cutting off my head with a golden ax and smiling while I'm being murdered .,It is like I'll cut off my head with a golden axe And smile when I am slain .
"Here is a friar that trembles , sighs and weeps .","There's a friar who's trembling , sighing and crying ."
"But a lot of old people act like they're already dead , sluggish , slow , fat , and colorless , like lead .","But a great many old men act like they are dead , sluggish , slow , fat , and gray ."
Tomorrow night look that thou lie alone .,Tomorrow night you'll be alone .
"No , Romeo will respond to the letter's writer , telling him whether he accepts the challenge .","Nay , then , the letter writer shall reply to the challenge , telling him if he will accept the challenge ."
I am aweary .,I'm a big man .
"He'll wake you up , I bet .",I know he will wake you .
"Oh , I wish I was the glove on that hand so that I could touch that cheek .",I would I had touched the cheek with the glove .
"Madam , I am here .","Madam , I'm here ."
"Ay , if I know the letters and the language .",If I know the language and the letters .
"Now I'll go see my priest , to ask for his help and tell him about my good luck .",I'll ask my priest help and tell him I am content .
"Peter , wait for me at the gate .",Stay till I come to the gate .
"Oh my , my bones ache so much .",My bones are sore .
"Indeed , I should have asked you before who he was .",I would I could ask you who he is .
I'm suddenly afraid .,I am afraid .
Is the worst well ?,Is the worst ?
Farewell .,Farewell .
Is your man secret ?,Is your man a secret ?
Please grant my prayer so my faith doesn't turn to despair .,"Pray , let my faith not fall ."
