text1,text2
"Goodbye , Goodbye !","Farewell , farewell !"
"Oh , rude and unthankful boy !","Dismiss you the rude , uncaring son of a mere bab ,"
"Old Montague is here , and he's waving his sword around just to make me mad .","Montague , and as mad As ever did waving his sword about ."
Then I'll call you a serving-creature .,"Why , then I will call you servant ."
"But as soon as the sun rises in the east , my sad son comes home to escape the light .","Therefore my sad son spits forth back . , Upon this king , come it back to my house at my carvings on you ;"
"Poison , I see , has been the cause of his death .",His death has being caused by poison .
"Or if it did not , Your first is dead , or 'twere as good he were , As living here and you no use of him .","When it can't , he dies , or he dies , or dies , or dies , or falls dead ."
"There is no world without Verona walls But purgatory , torture , hell itself .","There are no gods but Veron , though his walls are very puny ."
"Oh , mickle is the powerful grace that lies In herbs , plants , stones , and their true qualities .","On this tree and this tree , mickle is the courageous grace that hides that such a deed is an illusion ."
That villain cousin would have killed my husband .,My husband would have killed my cousin's wife .
"Oh nature , what were you doing in hell ?",What didst thee do with Nature's trances ?
Do not deny to him that you love me .,"Don't deny it , love me ."
He was not born to shame .,His birth is not shameful .
"How should madmen hear , if wise men can't even see ?","What , if men that have no wisdom tell them they are mad ?"
"The ground is bloody. , Search about the churchyard .","The ground is bloody , go out to find the buried corpses ."
Where are the vile beginners of this fray ?,Where are the nasty newcomers ?
Monday !,"On Monday , who ?"
"Either you , or I , or both of us have to go with him .","Let us go with him , Or else come you to my mind to do it ."
And so did I .,And I did too .
"Things have turned out so unluckily , sir , that we haven't had time to convince our daughter to marry you .","That's my daughter did not receive time to persuade her daughter to marry , Signior ."
"Feeling the loss like this , I can't help but weep for him forever .",I can not help but cry for this sudden disenchanted look of his .
"I'll send to one in Mantua , Where that same banished runagate doth live , Shall give him such an unaccustomed dram That he shall soon keep Tybalt company .","The credit that I give to you now , which I'll soon give you , will give him a lot of this doth , and he will live , along with this young fellow , a little longer , than he is up"
"Then I defy you , stars !","I'm telling you , stars !"
That is because the traitor murderer lives .,"This isn't true , because the traitor's murderer is alive ."
Confusion's cure lives not In these confusions .,Confusion is a cure for confusion .
Have you killed Tybalt ?,Did you kill Tybalt ?
He was my brother's son !,He's my brother's son !
"Come , night .",Come .
It looks to me like it's burning in the Capulet tomb .,And I think it doth make burns in the tomb Of Capulet .
"Stay , then .","Wait , then ."
They must take it in sense that feel it .,It's better to make it a sense .
Somebody's knocking .,Someone knocks .
Is my father well ?,Would you do it for my father ?
What a man are you ?,What do you mean by that ?
"Be quiet , you mumbling fool !","Keep quiet , thou fool !"
Let them judge us however they please .,How they put us to the choice of our fate Shall we do hear of it .
Will you speak well of him that killed your cousin ?,Did you watch your cousin kill ?
Here comes the lady .,The lady comes here .
"You , Prince , are the man who can give me justice .","Let me tell you , Prince , I have been made the justice of all ."
"If in thy wisdom thou canst give no help , Do thou but call my resolution wise , And with this knife I'll help it presently .",Call me wise and I'll help you chop at your life .
Is my father well ?,Think you of my father's good ?
Be quick for a while and let the one who lives the longest take everything .,Fast .
"That I ask again , For nothing can be ill if she be well .","If she is healthy , nothing bad can happen ."
Calling death banishment is like cutting off my head with a golden ax and smiling while I'm being murdered .,"No , sir , like I'll cleave my head off With golden axe and smile when I am murdered ."
"Here is a friar that trembles , sighs and weeps .","My friar is trembling and hurrying to join them , moaning and sighing and crying ."
