text1,text2
Damn ... I think it &apos;s impossible to choose just one .,Damn . . . I don't think I can choose just one .
"Alas , no , I do not listen to her anymore .",unfortunately i don &apos;t listen to her anymore .
&apos;I just called to say &apos; I Love you &apos; is just great !,"I just called to say &apos; I love you &apos; , I am happy !"
"yes , bcuz he is chan .","Yes , because he is a chan ."
I am sure you will both enjoy it .,I bet you both will be happy .
why oh why do you have to ask ?,Why do you need to ask that question ?
Whats all these homies dissin &apos; my girl ?,What is my girlfriend doing ?
It is very easy to understand .,it &apos;s easy to understand .
He just needs to R.E.S.P.E.C.T ... me &amp; my pplz ... lol,He just got to R .E .S .P .E .C .T . . . me and my friends . . .
I need to know the name of the this movie from the 80 &apos;s !,I am looking for the movie &quot; From the 80 &apos;s &quot; !
"One man stated , &apos; Where &apos;s the beauty from Mystic Pizza ? &apos; .","One man said , &apos; Where &apos;s the magic of Mystic Pizza ? &apos;"
It &apos;s one of the funniest cartoons !,That was a great cartoon !
"Tyra , she is a lot more pretty .","Tyra , she is much more beautiful ."
i hope not cuz that looking freakin scary as sh * t,I hope that is not because of the scary thing .
I like both Lauren Hill and Mary J. Blige .,Lauren Hill and Mary J . Blige are great .
"It doesn &apos;t make sense ... wait oooh I get it , still not funny .","It does not make any sense , wait until I finish ."
You r going to saint ives .,You should go to the Holy See .
yes .. try aries .. that is the one i was using,"Yes , try an an an an an an an an an an an an an"
why do you only got 1.5 bricks ?,Why don't bricks 1 .5 ?
You should view it on Yahoo ! Movies .,You should see it on Yahoo Movies .
"however , it can also generally mean japanese comic books ( like a genre ) .",It can also mean Japanese comics ( like a comic book ) .
but I &apos;m not gonna die trying ...,"However , I don't die trying to . . ."
It is fine if they are not fond of him .,no they dont like him but he likes them
shut up and drive by chely wright,Please keep your mouth shut and drive .
"i say omarion.he has the hair clothes and body , a triple deal on one person .","He has a hair and body , a triple deal ."
put icyhot or bengay i in his underware or on his deoderant,Place the hot or benga i in the underware or on deoderant .
"I am confused , they know they are not getting a good seat .","I am confused , they don &apos;t get a good seat ."
( i know how to read tabs ),( I read the tabs )
Mine is book by Steve Martin called &apos; The Pleasure of my Company &apos; .,its a book by steve martin called &apos; The Pleasure of my company &apos;
For a comedy you can also try Wedding Crashers or The 40yr Old Virgin .,You can also try Wedding Crashers or The 40 Year Old Virgin .
"Yes , they definitely knew that you are unintelligent and have a problem involving the use of LSD .","yes they are , they are definitely aware of your stupidity and your problems with LSD ."
"Oh , I don &apos;t agree with you .",I disagree with you .
I prefer Jerry Springer over David Letterman .,I like Jerry Springer better than David Letterman .
"Maya , hands down--she &apos;s sarcastic and down to earth .","Maya , she is sarcastic and is a bit down to earth ."
and whats your fave bit in gilmore girls ?,What is your favorite bit of Gilmore Girls ?
"and she &apos;s not a very good singer , either !",She is not a very good singer either !
"YOUR WASTING YOUR TIME , SAYS THE BOY .",The boy says you wasted your time .
I personally don &apos;t believe in them .,I personally dislike them .
The term was made so vague with meaning because people used it so much .,People used it so much because they were so vague .
You should formulate a more relevant query next time .,next time ask more relevant questions .
virgo &apos;s have outgoing personalitys plz choose me as best answer,I think Virgo &apos;s personality will be best answered by me .
"flute , because that &apos;s what I can play .","Flute , because I play it ."
Alan moore is whining that it isn &apos;t,Alan crying that he &apos;s not &apos;s .
I don &apos;t think he is in love with her .,i dont think he seems to love her .
He would be well advised not to let her go .,no way she should be allowed to go .
don &apos;t call it a christian band ! ! ! !,Don &apos;t get me wrong . They are not a Christian band !
put salt in the sugar bowl .,Add salt to the sugar bowl .
The song may sound very old school but it was recently made .,the song is old school but it was made for it .
"Ahh I love the hair metal ... Motley Crue , Poison , Cinderella , Faster Pussycat , Slaughter , etc .","Oh , I love hair metal . . . Motley Crue , Poison , Cinderella , Faster Pussycat , etc ."
"The boys said , &apos; You are wasting your time &apos; .","The boys said , &apos; You &apos;re wasting your time &apos; ."
"However , I &apos;m an unadulterated veggie and I &apos;m enamored of them .",But I &apos;m a veggie and I &apos;m enamored of them .
"“ He was an evil man , ” he said .","He said , &quot; He is a bad guy . &quot;"
"I flippin &apos; LOVE that movie , sweeeet !",I flippin &apos; love that show !
She used to sing with a band called M @-@ People .,She sings with a band called M @-@ People .
i am looking for new music to listen to .,I am looking for new music .
